rowId,city_name,town_name,latitude,longitude,households,population,e_stat_code
15,桑名市,相生町,35.066836,136.692547,8,18,242050150
64,桑名市,相川町,35.057849,136.686072,46,111,242050590
134,桑名市,青葉町一丁目,35.067778,136.672669,39,88,24205103001
135,桑名市,青葉町二丁目,35.068509,136.672734,47,109,24205103002
56,桑名市,赤須賀（南部）,35.059146,136.703072,231,490,24205056001
57,桑名市,赤須賀（北部）,35.061537,136.703086,121,243,24205056002
197,桑名市,赤尾,35.051082,136.628686,156,385,242051360
207,桑名市,赤尾台一丁目,35.051312,136.624447,130,352,24205141001
213,桑名市,赤尾台七丁目,35.048588,136.627503,95,321,24205141007
209,桑名市,赤尾台三丁目,35.048693,136.624400,129,309,24205141003
215,桑名市,赤尾台九丁目,35.051399,136.627098,110,260,24205141009
208,桑名市,赤尾台二丁目,35.050049,136.622873,99,287,24205141002
211,桑名市,赤尾台五丁目,35.047075,136.623440,143,373,24205141005
214,桑名市,赤尾台八丁目,35.050135,136.627660,142,387,24205141008
212,桑名市,赤尾台六丁目,35.046943,136.626669,102,316,24205141006
210,桑名市,赤尾台四丁目,35.047570,136.621635,137,325,24205141004
19,桑名市,油町,35.064469,136.694237,18,42,242050190
29,桑名市,伊賀町,35.059702,136.699645,114,277,242050290
217,桑名市,和泉,35.042867,136.684985,970,2163,242051430
37,桑名市,一色町,35.059434,136.689809,176,386,242050370
46,桑名市,今片町,35.067415,136.691580,16,51,242050460
49,桑名市,今北町,35.068570,136.691197,86,145,242050490
195,桑名市,今島,35.112347,136.660011,89,276,242051300
48,桑名市,今中町,35.068034,136.690432,43,109,242050480
25,桑名市,入江葭町,35.061297,136.692218,32,75,242050250
75,桑名市,上野,35.060626,136.670641,360,831,242050680
27,桑名市,内堀,35.061928,136.695830,166,435,242050270
73,桑名市,馬道,35.059146,136.681100,78,171,242050660
124,桑名市,梅園通,35.066654,136.673708,88,168,242050970
96,桑名市,駅元町,35.068349,136.685613,137,316,242050820
4,桑名市,江戸町,35.066093,136.696146,12,26,242050040
61,桑名市,江場（西部）,35.054387,136.681417,324,670,24205057004
62,桑名市,江場（中野）,35.046594,136.688687,547,1100,24205057005
59,桑名市,江場（北東部）,35.055808,136.695012,101,291,24205057002
60,桑名市,江場（北部）,35.055334,136.686314,229,538,24205057003
58,桑名市,江場（宮乃島）,35.053681,136.691749,773,1745,24205057001
219,桑名市,大貝須,35.040079,136.696844,119,313,242051450
170,桑名市,大仲新田,35.078672,136.609549,481,1071,242051200
247,桑名市,大山田一丁目,35.079504,136.640301,24,50,24205158001
253,桑名市,大山田七丁目,35.080467,136.635765,131,317,24205158007
249,桑名市,大山田三丁目,35.083351,136.638937,106,252,24205158003
248,桑名市,大山田二丁目,35.080398,136.640078,93,227,24205158002
251,桑名市,大山田五丁目,35.083507,136.634109,167,416,24205158005
254,桑名市,大山田八丁目,35.078935,136.637209,360,774,24205158008
252,桑名市,大山田六丁目,35.081220,136.637266,190,469,24205158006
250,桑名市,大山田四丁目,35.084755,136.633963,207,459,24205158004
123,桑名市,尾野山,35.065858,136.678805,56,144,242050960
130,桑名市,神楽町一丁目,35.063225,136.669833,99,244,24205101001
131,桑名市,神楽町二丁目,35.061955,136.670749,76,165,24205101002
65,桑名市,掛樋,35.057967,136.688212,26,73,242050600
24,桑名市,鍛冶町,35.061183,136.691344,32,83,242050240
9,桑名市,春日町,35.067912,136.694700,27,55,242050090
128,桑名市,霞町一丁目,35.064296,136.671257,65,148,24205100001
129,桑名市,霞町二丁目,35.063732,136.670355,55,121,24205100002
3,桑名市,片町,35.064614,136.696048,24,63,242050030
122,桑名市,上之輪,35.085596,136.683078,30,58,242050950
193,桑名市,上深谷部（西部）,35.105306,136.648570,132,352,24205129001
194,桑名市,上深谷部（東部）,35.106969,136.661597,155,305,24205129002
226,桑名市,萱町（南部）,35.032493,136.694618,27,69,242051510
34,桑名市,萱町（北部）,35.058337,136.691658,66,166,242050340
